Date,Open,High,Low,Close,Volume,Adj Close
2016-12-12,87.900002,88.800003,85.849998,88.800003,22600,88.800003
2016-12-09,87.50,88.279999,85.25,87.75,36200,87.75
2016-12-08,83.75,86.650002,83.150002,86.00,36500,86.00
2016-12-07,84.449997,84.82,83.199997,83.650002,32900,83.650002
2016-12-06,82.800003,84.849998,81.660004,83.800003,31300,83.800003
2016-12-05,79.949997,83.00,79.949997,83.00,27800,83.00
2016-12-02,78.800003,80.449997,76.550003,79.50,11300,79.50
2016-12-01,80.599998,81.550003,78.550003,79.449997,20000,79.449997
2016-11-30,77.699997,80.949997,75.629997,80.599998,48400,80.599998
2016-11-29,81.699997,81.699997,78.300003,78.699997,36800,78.699997
2016-11-28,80.25,81.900002,79.199997,81.00,23700,81.00
2016-11-25,80.599998,81.949997,79.599998,80.150002,9700,80.150002
2016-11-23,79.300003,81.50,79.050003,79.849998,23800,79.849998
2016-11-22,80.449997,80.449997,78.75,79.50,33300,79.50
2016-11-21,78.400002,82.099998,78.00,79.25,32300,79.25
2016-11-18,75.400002,78.00,74.900002,78.00,34300,78.00
2016-11-17,75.449997,75.800003,74.599998,75.300003,20300,75.300003
2016-11-16,74.50,76.099998,74.349998,75.349998,38400,75.349998
2016-11-15,72.099998,74.650002,70.110001,74.449997,25600,74.449997
2016-11-14,75.400002,77.00,70.599998,72.50,40100,72.50
2016-11-11,71.50,74.599998,70.800003,74.599998,44800,74.599998
2016-11-10,66.50,71.50,65.489998,71.400002,28900,71.400002
2016-11-09,64.400002,66.75,61.75,65.75,81300,65.75
2016-11-08,64.150002,65.00,64.150002,64.699997,20500,64.699997
2016-11-07,66.050003,66.050003,64.50,64.900002,29700,64.200002
2016-11-04,64.599998,66.800003,64.50,65.400002,16600,64.694609
2016-11-03,63.549999,64.849998,61.799999,64.349998,40900,63.655931
2016-11-02,66.650002,67.029999,62.830002,63.50,34600,62.815101
2016-11-01,68.449997,69.50,66.650002,66.699997,17500,65.980583
2016-10-31,66.550003,68.849998,66.550003,68.349998,16700,67.612788
2016-10-28,66.75,69.150002,66.300003,66.900002,8800,66.17843
2016-10-27,69.599998,69.599998,66.400002,66.800003,19700,66.07951
2016-10-26,69.800003,69.800003,68.849998,69.00,9000,68.255779
2016-10-25,69.800003,69.949997,69.199997,69.650002,11000,68.898769
2016-10-24,70.050003,70.650002,69.599998,69.949997,8200,69.195529
2016-10-21,68.349998,69.849998,68.260002,69.849998,11200,69.096609
2016-10-20,69.00,69.550003,68.260002,69.050003,18100,68.305242
2016-10-19,69.150002,69.690002,68.75,69.099998,10200,68.354698
2016-10-18,69.849998,69.949997,69.00,69.349998,15700,68.602002
2016-10-17,68.599998,69.650002,68.599998,69.50,12700,68.750386
2016-10-14,68.900002,69.199997,67.550003,68.599998,14500,67.860091
2016-10-13,68.699997,69.50,67.599998,68.400002,15100,67.662252
2016-10-12,67.300003,68.900002,67.230003,68.599998,6600,67.860091
2016-10-11,68.099998,68.099998,66.260002,67.00,16100,66.27735
2016-10-10,68.550003,69.349998,68.150002,68.199997,12900,67.464404
2016-10-07,69.089996,69.089996,67.690002,68.089996,22900,67.35559
2016-10-06,67.669998,69.260002,67.290001,68.860001,57500,68.117289
2016-10-05,68.199997,69.00,67.50,67.50,32700,66.771957
2016-10-04,68.529999,68.959999,67.809998,67.860001,11800,67.128075
2016-10-03,68.980003,69.050003,68.010002,68.43,24300,67.691927
2016-09-30,68.220001,69.580002,67.50,69.120003,36500,68.374487
2016-09-29,68.620003,69.089996,67.349998,68.50,22900,67.761171
2016-09-28,67.739998,69.050003,66.910004,68.730003,27100,67.988694
2016-09-27,65.800003,68.43,65.800003,67.690002,58400,66.95991
2016-09-26,65.220001,65.949997,64.43,65.830002,25300,65.119971
2016-09-23,64.949997,65.940002,64.889999,65.510002,19600,64.803423
2016-09-22,65.940002,65.940002,64.690002,65.220001,26900,64.51655
2016-09-21,63.00,65.889999,63.00,65.790001,17200,65.080402
2016-09-20,63.00,63.099998,62.450001,62.580002,36200,61.905025
2016-09-19,63.00,63.169998,62.849998,63.150002,26800,62.468877
2016-09-16,64.199997,64.199997,62.610001,63.560001,57800,62.874455
2016-09-15,63.849998,64.309998,63.599998,64.309998,15300,63.616362
2016-09-14,64.18,64.260002,62.98,63.990002,7200,63.299817
2016-09-13,64.580002,64.580002,63.48,63.790001,65600,63.101974
2016-09-12,64.470001,66.040001,63.849998,64.739998,63800,64.041724
2016-09-09,65.00,65.339996,64.339996,64.339996,36500,63.646037
2016-09-08,65.889999,66.349998,65.68,66.00,7300,65.288136
2016-09-07,65.50,66.199997,64.93,66.120003,17800,65.406844
2016-09-06,65.18,65.559998,64.860001,65.410004,18500,64.704503
2016-09-02,65.050003,65.489998,64.910004,65.290001,20100,64.585795
2016-09-01,64.669998,65.160004,64.00,64.860001,23500,64.160432
2016-08-31,63.939999,64.370003,61.130001,64.370003,9500,63.67572
2016-08-30,63.50,64.199997,62.759998,63.68,10400,62.993159
2016-08-29,63.959999,64.199997,63.150002,63.490002,6000,62.80521
2016-08-26,64.720001,65.190002,63.400002,64.269997,18000,63.576792
2016-08-25,63.900002,64.739998,63.360001,64.709999,26900,64.012049
2016-08-24,63.139999,63.470001,62.439999,63.310001,13900,62.627151
